#t         x          y          z          vx         vy         vz         
      0.000   -476.210    491.430   -412.410     44.560    101.430    141.060
      0.071   -472.970    498.950   -402.050     48.460    107.430    147.350
      0.143   -469.290    506.760   -391.420     57.830    111.690    150.650
      0.214   -465.060    515.040   -380.300     62.750    116.800    160.330
      0.286   -460.110    523.460   -368.460     72.110    124.280    172.060
      0.357   -454.580    532.620   -355.720     82.540    129.360    184.200
      0.429   -448.090    541.960   -342.350     95.450    134.100    191.750
      0.500   -440.870    551.440   -328.500    107.540    133.960    201.780
      0.571   -432.470    561.130   -313.960    131.170    137.070    211.040
      0.643   -422.380    570.870   -298.350    152.080    135.310    223.160
      0.714   -410.510    580.360   -281.700    177.880    127.280    236.820
      0.786   -396.760    588.900   -264.590    205.370    113.300    242.620
      0.857   -380.880    596.290   -247.090    237.950     92.350    247.160
      0.929   -362.800    601.820   -229.400    264.140     60.950    246.410
      1.000   -343.240    605.110   -212.080    280.250     31.690    237.050
      1.071   -323.070    606.310   -195.680    286.970      2.230    220.340
      1.143   -302.630    605.510   -180.460    286.380    -25.050    203.530
      1.214   -282.300    602.800   -166.450    281.730    -52.480    187.350
      1.286   -262.510    598.350   -153.550    272.110    -69.070    174.830
      1.357   -243.440    592.970   -141.370    263.100    -81.370    164.230
      1.429   -224.820    586.630   -130.090    254.770    -96.020    150.040
      1.500   -207.000    579.290   -119.840    245.110   -107.110    139.560
      1.571   -189.860    571.280   -110.350    236.530   -115.570    129.370
      1.643   -173.310    562.800   -101.450    227.260   -122.170    120.650
      1.714   -157.360    553.790    -93.110    217.510   -130.950    111.990
      1.786   -142.180    544.240    -85.380    207.860   -135.640    104.840
      1.857   -127.660    534.380    -78.180    199.830   -141.590     97.950
      1.929   -113.680    524.080    -71.440    192.420   -147.220     90.720
      2.000   -100.280    513.290    -65.160    183.570   -154.600     84.610
      2.071    -87.650    502.070    -59.300    171.990   -157.620     79.870
      2.143    -75.620    490.810    -53.840    166.320   -158.310     72.280
      2.214    -64.010    479.390    -48.910    156.940   -161.960     68.590
      2.286    -52.990    467.630    -44.120    151.540   -164.910     64.510
      2.357    -42.370    455.610    -39.860    144.770   -169.670     59.250
      2.429    -32.360    443.390    -35.710    135.410   -170.240     56.590
      2.500    -23.050    431.110    -31.750    126.040   -175.610     52.460
      2.571    -14.370    418.440    -28.160    117.060   -179.500     46.750
      2.643     -6.230    405.460    -24.920    110.420   -185.110     44.100
      2.714      1.410    392.080    -22.000    103.150   -187.140     38.020
